Chloe K.,/user_details?userid=YvVgMUzdboi4yHy8xnuf5Q,"Los Angeles, CA",3/3/2023,5.0,"Edy and Josh are the BEST bartenders. We had a great time, drinks were amazing! Have gone twice now and will definitely be back"
Evan C.,/user_details?userid=wVKayV3u7nXTUVlaDLdNlA,"New York, NY",3/25/2023,5.0,"Good food, good service and good vibe. Drinks have some Chinese twists. Highly recommend!"
Cheng-En C.,/user_details?userid=xiYljz3C5k2elLAQpojwmg,"Lower East Side, New York, NY",3/25/2023,5.0,Food is great! I like how they present traditional chinese food in a new way! Highly recommend
Maggie B.,/user_details?userid=jNKKoDWxBcSFRYNvA2hqBA,"New York, NY",4/1/2023,5.0,No comment
Elaine C.,/user_details?userid=QfyHMvAP5S3bDHR37zXEFQ,"New York, NY",4/7/2023,4.0,No comment
JingJing X.,/user_details?userid=TYtGf59rqNAYFylGNTCiPA,"New York, NY",3/25/2023,3.0,No comment
Elsie W.,/user_details?userid=mDBAmEsyxuVTTT70dK-dqA,"Manhattan, NY",2/28/2023,5.0,No comment
Carin Y.,/user_details?userid=I-OUT8rDhzAxMOvIyk6cjw,"Washington, DC",3/6/2023,4.0,No comment
Iris F.,/user_details?userid=qxqJRxvUAYZAjk0P7Rkgig,"New York, NY",3/21/2023,4.0,"Cool vibes/decor and great drinks! I opted for the bird's nest since the bartender said it tastes the least like alcohol compared to everything else on the whole menu lol. It was pretty good and very sweet, not one of the best drinks I've had but in general I liked how creative the drink menu was! Especially as a Chinese American recognizing a bunch of cultural references in the drink names, and the unique Chinese ingredients that are mixed into the drinks. In terms of food, I liked the truffle mushroom salad the most bc the flavors were on point. Pork belly was okay to me, I felt like the portions were way too small and could have been more tender. Crab fried rice was solid though!"
Selena L.,/user_details?userid=r1ipevFxLwXc5wGDzysCnw,"Berkeley, CA",2/23/2023,5.0,No comment
Becky S.,/user_details?userid=5oOxvVwBa9IzzolmbvY7fA,"Brooklyn, NY",7/26/2016,5.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Yin M.,/user_details?userid=iyFDm3dAwZUTXlGsbMZXQA,"Brooklyn, NY",1/13/2020,5.0,"Hidden Japanese food joint in Walter's...great food, great drinks, intimate, and beautiful.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Christine L.,/user_details?userid=6fg81vQQNDN0zo-TtP19wg,"Houston, TX",2/26/2018,4.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Heather M.,/user_details?userid=IXnjX2apmcsAm6kLZY4BLw,"Brooklyn, NY",7/8/2017,5.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jacquelyn E.,/user_details?userid=5aU1UMGquM6QwDJlC37q_g,"Manhattan, New York, NY",4/12/2021,5.0,"Didn't expect it but, Karasu was simply extremely good. It's kind of the place to go in this area. The menu is really awesome, a lot of fantastic choices, I had to go with Tonkatsu, and it was incredible. Staff is really pleasant and definitely will help you with everything. Everything was excellent at Karasu.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Eater O.,/user_details?userid=M-rna07Cwpwh18JDpZ5NYQ,"New York, NY",12/9/2017,5.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Anna V.,/user_details?userid=S0e2SmIaH3bXFjSWsRk-wQ,"Brooklyn, NY",2/10/2020,1.0,"I used to love this spot, but never again. Its gone down hill pretty quickly. Host team ignored reservation notes and had no interest in accommodating anyone with the attitude to match. They even made a guest on crutches stand to wait for her table!  Food was hot trash. The edamame was overcooked to mush and the clams were a pitiful value. It was so bad we cut our visit short and went up the street to 1 Or 8.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tony C.,/user_details?userid=Lj4Lx3-kEfNzLrt49_EzFA,"Brooklyn, NY",10/9/2017,3.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Eric L.,/user_details?userid=9kzhg6WhUkCLuk3h4wa7mA,"Salt Lake City, UT",6/20/2018,3.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alyvia P.,/user_details?userid=pnU0L7MWAKf-FlITzfVNxg,"Brooklyn, NY",7/8/2017,3.0,"Delicious food and cocktails but I'm still not sure it was worth the price tag. We prefer Walter foods/Walters. My fiancé left hungry, which is no burnout after throwing down a couple hundred dollars for dinner. I thought someone might have wished us congratulations also, as we were celebrating our engagement, but they did not.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Iya Y.,/user_details?userid=KOYaCcnNEnXQuRJOyNUXZw,"Philadelphia, PA",12/29/2019,5.0,"Delicious!!! If you like meat, I recommend the prime rib or else the smell of someone else's prime rib will invariably make you regret missing out on that. Drinks are very nice here.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jamil S.,/user_details?userid=cLMWGn7sxJn57ch2CLooGQ,"Boston, MA",8/16/2019,1.0,"Awful experience at this restaurant. We (a group of 3) arrived at the restaurant on Friday night and were told there was an hour-long wait. We left a phone number, but noticed, after over an hour of waiting, that no one called us. We went back to the restaurant and asked the manager when we should expect to be seated, given that we had been waiting for over an hour. The manager snapped at us, despite having treated him with calm and respect, and used a disrespectful, irritated, and condescending tone to indicate that we should not be expecting a table. We decided not to wait any further and left the restaurant disappointed at the dismal service and awful attitude.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lorelei P.,/user_details?userid=oOnvM8alG0IIacvJu9aBQA,"Vancouver, Canada",6/24/2018,5.0,"We had delicious food and an excellent waiter. Four of us had a great mix of the tapas. The gazpacho is a definite get, as is the Lobster and Scallop. The mackerel was perfect, with salted crispy skin being a highlight. The chefs really understand the delicate balance of flavour, texture, smell and visual, and are able to craft a full sensorial pleasure.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
John S.,/user_details?userid=UmOo-S6ZicjAgbvRe5DuTA,"Brooklyn, NY",2/4/2020,2.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Olga F.,/user_details?userid=INd4AdxOjDWwRI4lu4kznw,"New York, NY",9/17/2017,3.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sol C.,/user_details?userid=_JMJOpOL9chL10nlSYhaqA,"Encinitas, CA",11/13/2017,3.0,"This hidden spot in the back of Walter's has a great, romantic atmosphere. Service was also really solid, as was the tremendous sake selection. The food was underwhelming for the most part and very overpriced. The only dish we loved was the fried chicken appetizer. The rest was pretty bland - especially the udon main dish which cost $20 and the clam appetizer for $15. Nothing seemed to have any salt or seasoning. Portions are also quite small.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jennifer C.,/user_details?userid=fX2eLAYd9ufkCrBJdZF3Ag,"Elmhurst, NY",1/23/2019,5.0,"Watching an episode of Chef's Night Out brought us here, and we were not disappointed.  I dig that this place is sort of like a speakeasy, where the restaurant is located behind a backdoor within another restaurant.  The look of the place is very cozy and you feel enrobed within some secret society where they serve impressively delicious Japanese food that comes out of an even more impressively tiny kitchen.  We didn't have reservations on a weeknight, but we were lucky enough to score two seats at the bar.  We came for a snack, but ended up ordering about 4 or 5 dishes, that were all quite tasty.  The most memorable and my favorite item was their Karaage Chicken followed by the Pickled Vegetables Three Ways which was the perfect acidic balance to the fried chicken.  We also had the delicate egg custard, ""Chawanmushi"" but that took a little while to make.  My husband was surprised by the Crab Salad (red crab, tofu, mentaiko, served with gyoza wrapper chips) and really seemed to have enjoyed that above all else.  Me, I was going in on that amazing karaage chicken thigh!  They serve nice, large chunks, that were meaty and juicy, but not oily, and just scrumptious, and actually the best karaage I've ever had.  It would have been absolutely perfect with a warm bowl of rice.  And we washed down our little ""snack"" with a refreshing yuzu soda, and it was overall a really delicious meal.  I'd be thrilled to come back and try their infamous Koji Prime Ribeye, that looks hella dreamy based off all the photos posted here on Yelp.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Rebecca L.,/user_details?userid=TeSkwxUHrrRo5z48IgKBmw,"Berlin, Germany",3/25/2019,1.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ken S.,/user_details?userid=PYbjreZpONNMp25uRSPB-A,"Manhattan, NY",11/22/2016,3.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ed C.,/user_details?userid=RA3BXyhFCa-5lMGnXdyRrg,"Atlanta, GA",4/29/2017,4.0,"If you've ever seen Inception, this is the restaurant version. A restaurant with in a restaurant?!?  That's what you have here. In the back of a traditional American restaurant called Walter's, you can walk towards the back where the restrooms are and you'll find a nondescript black door that seemingly leads to nowhere. Open that door and your instantly transported into a Japanese izakaya speakeasy restaurant.  The food is great, but the drinks are even better! I had some roasted asparagus and bamboo, raw octopus, and some tasty miso soup.  My drink had a tequila base, but sported touches of ginger and jasmine. This trendy spot is one that you should definitely check out!",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Chewy B.,/user_details?userid=TnRBeUxI5zi5sIXIg-F1ug,"San Francisco, CA",3/8/2019,2.0,"Noted there's a birthday celebration and the servers just seem over the night. Never checked if we were good or how the food was. Knocking over a glass on the birthday person and casually saying sorry cause you feel forced and walking away. Hostess was amazing. Food was good. If you're going to wipe all around the table don't be one handed and lazy, pick up the glasses in the way which would've prevented knocking a glass on my lap. I really wanted to like this place.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
CC L.,/user_details?userid=aZkLAPqZrWPkPucft2bWtQ,"Austin, TX",4/7/2019,2.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jen K.,/user_details?userid=KpQn-kTrCFUO3ShMoWNgzA,"Croton-on-Hudson, NY",10/29/2016,5.0,"This place is a sparkling gem of a restaurant! You will feel instantly transported the moment you walk through the black door at Walter's. Staff and service are impeccable, and the vibe is cozy but not crowded. Drinks are FANTASTIC - my fave was the Night Night (sort of like a spicy plum Manhattan), and served in adorable vintage glasses. The food was outstanding. We eat a lot for two people, so we got two small plates and two large plates and it was perfect: miso potato salad, duck karaage, handmade uni pasta and sizzling prime rib for two. Everything was bursting with flavor, and the duck had one of the most unique sauces I've tasted in a long time. We had room for desert and got a scoop of maple walnut ice cream and sage ice cream. My husband liked the maple walnut and I was in love with the sage, so there was something for everyone. Would definitely go back again and again!",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jay K.,/user_details?userid=vFhxrM_IYu7WBfI_2zFTRA,"New York, NY",5/8/2017,5.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Andros Z.,/user_details?userid=l6QNr1AXjJgv8Cv_XtyFQA,"Ma Campagne, Brussels, Belgium",3/4/2019,3.0,"This was our second time to Karasu. We're fans of the food and the atmosphere. But last night, the miso soup was pretty tasteless. The server wasn't particularly friendly and a dish (the Japanese sweet potatoes) came out cold. When we asked the host if they were supposed to be cold- especially seeing as they came in tin foil and had butter in the side, he sheepishly said no, then returned to apologize and ask if he could offer us something else as there were no more potatoes. We assumed, given the situation that this would be on the house, it was after all a small dish that they brought completely cold and had no more of. So it was surprising to see them still charge us for the replacement item which totaled 12 bucks. I didn't say anything, it just felt like bad style and generally like the place isn't nearly as classy as it tries to appear.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ashley S.,/user_details?userid=YufI05DgqvOVwNgCvs0Big,"New York, NY",6/16/2016,5.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Carolina R.,/user_details?userid=83RFxgZJlryNrqs0QUEMJA,"Manhattan, NY",5/24/2017,5.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Cee M.,/user_details?userid=2cabNOk4XqFwiFuwXUPPaw,"Brooklyn, NY",8/18/2017,5.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Toan P.,/user_details?userid=IpR3GJI6wWiLbvdOCKJCgA,"Oakland, CA",8/10/2018,3.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nicole M.,/user_details?userid=LoSEN8Xui6E2NUbT7y6gQQ,"White Plains, NY",2/25/2017,5.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Gabrielle M.,/user_details?userid=uVM6wR7UE3zy-_7GJEw-Xw,"New York, NY",2/22/2019,4.0,"This speak easy style restaurant is very intimate. It's located through Walters, lit but candles and frequented by couples. The menu is designed for sharing. We started with the Sweet Potato (highly recommend), karaage (highly recommend), and the mushrooms (eh). For our main we had the steak for two which was cooked perfectly. Our whole meal was delicious but WILDLY overpriced. The night finished at $200.... I was so disappointed. This is a place for extremely special occasions. Like my death.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sruthi L.,/user_details?userid=PSOJDrQiTZlALFx_eV57zQ,"Durham, NC",8/20/2016,5.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ian A.,/user_details?userid=Tm2wY5z7LkJ6GPnYtSBGcA,"Brooklyn, NY",10/20/2016,5.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Joel C.,/user_details?userid=xysf9JNZpAhsGa-evPTfnw,"Somerville, MA",4/9/2017,5.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Annett C.,/user_details?userid=sRBoqg7HvJcOjfH7YzFd3A,"Brooklyn, NY",1/16/2017,4.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
hareem p.,/user_details?userid=_lDNYSXhpgNMscV1_bfidQ,"Providence, RI",2/12/2017,3.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Joanie K.,/user_details?userid=pR4aCoE5lplAParShrBMiw,"Brooklyn, NY",8/13/2016,4.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jared L.,/user_details?userid=IUAoSDobbX5wgh7-tiB9RQ,"Emeryville, CA",5/14/2018,5.0,Shortly after sharing the Ribeye I came to the realization that I just had the best steak I've ever had. Returning to this spot is a no brainer.,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Timothy H.,/user_details?userid=V94ELwgQbpnz2GNtb8KAWg,"New York, NY",9/18/2016,4.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Anna L.,/user_details?userid=-KnWej9eg56opkztxFinKw,"New York, NY",1/21/2018,4.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Vikram A.,/user_details?userid=IdKe2TV1Ngb0DWS3Z_rjvQ,"Manhattan, NY",5/12/2018,4.0,Great place for drinks at night or a date. Almost has a speakeasy feel with the separate bar and entrance at the back of the bar. Apparently their kitchen closes sooner than the front bar which closed its kitchen at 1am. I'd recommend.,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Avi G.,/user_details?userid=g8BXQIcxO6SF3i_56Bw4Vg,"Brooklyn, New York, NY",9/4/2017,5.0,"'Secret Sushi' is what my family and I call it.  It's in the back of Walters, and when you walk in, and go to the back door to enter Karasu, it feels as if you are quite important.  It's fun!  When you just walk in, the staff from Walters will usually say, ""Oh!  So, a table for (2)""?  You will then say politely, ""We're here to go to Karasu, the place in the back""!  Then nod your head in the direction of the back door.  They will then guide you to the back door and you will enter an entirely different restaurant, and it will feel like you are changing dimensions.  We ordered the rice balls, which were a little bland by itself, but with soy sauce, they were much tastier.  Inside the rice, there is salmon, which was a surprise as we thought it was tuna.  Next I got the miso soup, and it was refreshing - although I think they could have added more tofu.  For the main course, I received rice, (yes more rice), topped with sashimi, caviar, and corn.  The sashimi's texture was amazing, and the corn was crunchy.  As for the steak, it was perfectly cooked, tender and flavorful.  The only thing was that there was way too much fat.  It was kind of hard to eat.  But the taste made up for that.  I totally recommend this place for a special night out.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Tofu R.,/user_details?userid=Tp9EvdZZzFFwfH1m2SVJ9A,"Los Angeles, CA",2/27/2017,4.0,"Drinks were great, karage and steak are excellent. Very cute and romantic setting with a speakeasy atmosphere. The salads were very impressive! It is Asian fusion, not quite authentic but dishes were very well prepared.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Todd T.,/user_details?userid=1gM5fMMLqahyO3rUC2ib1g,"Financial District, Manhattan, NY",10/2/2016,5.0,"The Dippermouth was the best cocktail i've ever had. Beautiful interior design, awesome cocktail glasses...took me back to time spent in Japan!",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ami P.,/user_details?userid=VgIIkf3vJy04gDa5arlt5Q,"Queens, NY",4/27/2017,5.0,No comment,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
shana l.,/user_details?userid=H-7XlTJ13XCa-sjSMtkp3A,"New York, NY",1/15/2017,4.0,Stopped by with a couple of friends. Reservations are a must. Drinks were delicious. I was looking for a vodka based drink and they were able to substitute the Gin for vodka in a drink called Bee Side which I highly recommend. We had some sashimi as well which was fresh and delicious. Try it out.,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Rafael M.,/user_details?userid=XSHFDh4Th-5OXttwztbbMQ,"Oyster Bay, NY",7/3/2017,5.0,"Great service and amazing food/drinks. I like the fact that it's very low key. I advise making reservations, tables go quickly.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Megan G.,/user_details?userid=aYLeMvkeU6DokF0U_6Jmvg,"Fort Greene, Brooklyn, NY",4/23/2017,4.0,Love the ambience of this place and the food was pretty tasty. Particularly the octopus and fried chicken. Not a big menu and more of a good spot for delicious drinks. We went on a Monday and it wasn't too busy yet service was pretty bad. Would go back for cocktails at the bar.,https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sean T.,/user_details?userid=q68yQx7j_81FkcGrcNYtWw,"Detroit, MI",4/9/2017,5.0,"Great service, fantastic experience.  This hidden gem is a Brooklyn treasure - must come and find the hidden secrets this has the unlock",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Coral P.,/user_details?userid=iJ0gxLJ0fI7GwMim0qsGRg,"San Diego, CA",8/20/2018,5.0,"In the back of another restaurant, really set up the mood once you get in.  Good sake, tasty food.  Had a very pleasant evening.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Telina P.,/user_details?userid=Kq70-XhkeBZ50jhB9_CoeQ,"Atlanta, GA",3/17/2019,3.0,"This place was good - a little over-hyped. I don't think we'll be back just because of the fairly small menu and the servers were a bit weird to interact with and seemed more focused on up-selling us vs. just being normal/nice. We were running 10 minutes late and they made sure to let us know we only had the table for an hour and a half. This was a completely fine amount of time, but it just felt kind of tacky. I personally don't like to know they are booking the tables that close together - to the point where they have to let you know what time to leave. The ambiance was cool; perfect lighting and noise level (good for a date). I thought the food was really good, so if you're willing to overlook the other things mentioned I'd give them four stars. I had the whole fish, which was amazing IMO - paired with this delicious white wine they had by the glass. My bf had the ramen, but he thought it was lack laster in comparison to others he's had for half the price. We also had the pickled veggies & warm potato with sesame butter (yum!). It's worth trying if you're looking for a new experience in BK!",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
X Q.,/user_details?userid=k-U9aps8gjuHotirbCh4pg,"Brooklyn, NY",3/12/2018,5.0,"i'm a little relieved i moved away from this neighborhood right as Karasu opened b/c i'd be here all the time if i hadn't. the drinks are unique and well-mixed, the food is perfection and the space is beautiful. such a great spot!",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Marc P.,/user_details?userid=JuO77xFNrPe4fIERK41keQ,"Brooklyn, NY",1/22/2017,4.0,"Cocktails are solid. Food is good. Sashimi small dish was aaawesome.  Interior is Art Deco in a cool subtle kind of way. Lastly, I love when you can tell a waiter how hungry you are and they give a legit answer to if you have ordered the right amount of food. Our guy hit it spot on.  Nice experience.",https://www.yelp.com/biz/karasu-brooklyn-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
