Evan C.,/user_details?userid=wVKayV3u7nXTUVlaDLdNlA,"New York, NY",3/25/2023,5.0,"Good food, good service and good vibe. Drinks have some Chinese twists. Highly recommend!"
Claire B.,/user_details?userid=tzQHvBKzCHWXWUQ9xdO55A,"Madrid, Spain",4/1/2023,5.0,"10/10. Food, ambience, & drinks were all superb. We had the bird's nest to drink which was absolutely fantastic. Everyone should order the pork belly, yuzu shrimp, and crab fried rice."
Cheng-En C.,/user_details?userid=xiYljz3C5k2elLAQpojwmg,"Lower East Side, New York, NY",3/25/2023,5.0,Food is great! I like how they present traditional chinese food in a new way! Highly recommend
Maggie B.,/user_details?userid=jNKKoDWxBcSFRYNvA2hqBA,"New York, NY",4/1/2023,5.0,No comment
Elaine C.,/user_details?userid=QfyHMvAP5S3bDHR37zXEFQ,"New York, NY",4/7/2023,4.0,No comment
JingJing X.,/user_details?userid=TYtGf59rqNAYFylGNTCiPA,"New York, NY",3/25/2023,3.0,No comment
Elsie W.,/user_details?userid=mDBAmEsyxuVTTT70dK-dqA,"Manhattan, NY",2/28/2023,5.0,No comment
Carin Y.,/user_details?userid=I-OUT8rDhzAxMOvIyk6cjw,"Washington, DC",3/6/2023,4.0,No comment
Sophia Z.,/user_details?userid=AVVRmRwJFsNDdLUvRy7oTQ,"Manhattan, New York, NY",4/14/2023,4.0,"Really cute Asian inspired speakeasy-esqué cocktail bar with some small bites. If you don't have a res, you will have to wait quite a while, so I would recommend that you make a res before coming. I got the HK Kong cocktail drink and it was quite sweet, with a hint of coffee. There was a bit of whipped cream on top and it tasted like a dessert liquor drink! Would recommend. The portion was a bit small but still very cute."
Tanya H.,/user_details?userid=EyxIGr0nzrPs-EwDYepymg,"New York, NY",4/14/2023,5.0,"Great ambience and interesting drinks. The Bird's Nest was very enjoyable, I liked the lollipop on top- it actually tasted like birds nest. Great place to chat with friends."
Yan L.,/user_details?userid=ta9GzSPo7ICORZQ1JfPI8A,"Washington, DC",8/8/2018,4.0,No comment,https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Linda G.,/user_details?userid=0N45JjJJJTAm-R7kFNs4lg,"Manhattan, New York, NY",8/26/2018,1.0,"I have never been to Chinese restaurant that serves with such small portion. Also the dishes are bit too sweet. I am from Hangzhou, this place's food is not a good representation of my hometown food.",https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sophie L.,/user_details?userid=j1Kivz3ppkJqIrivQtpzWg,"Issaquah, WA",3/14/2019,5.0,This is my third time here. Perfect place to hang out with friends. Delicious authentic Chinese food but also laowai friendly. The vibe is great and decor is nice.,https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
R M.,/user_details?userid=ogDvvD1jl7s6NFqCHUcpvQ,"Manhattan, New York, NY",3/14/2019,5.0,"The food is amazingly authentic! Feeling at home back in China! Location is good, very close to W4 and NYU. If you are a big fan of southern Chinese food, I highly recommend you to come here!",https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mi Z.,/user_details?userid=e6EKWzBgSVZE1bNg5n-q8A,"Financial District, Manhattan, NY",3/12/2019,5.0,"An authentic Shanghainese place. We ordered a couple of Shanghainese dishes, such as the braised pork ribs, braised fish and fried pork buns. All of them taste good. I guess I will come back and try more",https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jaylyn S.,/user_details?userid=ZkzUX2cH4QWAxfiD8CIK6A,"Lansdale, PA",3/6/2019,5.0,"First time being here, and the food tasted great! Service was fast and friendly and all of the food was reasonably priced. Definitely coming back soon.",https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Eva Z.,/user_details?userid=rTAUQN8o5yiN_UC2GH7_KA,"Searcy, AR",3/5/2019,1.0,"Tried today but it's really disappointing. The one star is for the nice decor but that's about it. Food is very salty. The waitress was rude. We two only ordered one entree to share because we were too full. The waitress gave us the usual Shanghai attitude of looking down on u because we only ordered one entree. ""Dog eyes looking down on people.""",https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Junna W.,/user_details?userid=PMyXRaphlGKw7hV0bW3qeQ,"Manhattan, New York, NY",7/9/2019,5.0,"Came here on a Tuesday night with my boyfriend for dinner after seeing this place on Instagram. Ordered the fried pork soup dumplings, auntie fish stew, and the shredded pork. Overall was very impressed with the freshness, flavor, and price! Would definitely come again",https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Eric Z.,/user_details?userid=lNS3TLyji3-U-vntSUDv2g,"New York, NY",2/15/2019,5.0,Great Shanghainese restaurant with classic vibes. Would definitely come back with friends!,https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kelly W.,/user_details?userid=xqeDJEgSzLjJC_7shHeU3A,"Jersey City, NJ",1/15/2019,5.0,It's hard to find authentic Shanghainese food in Manhattan. Glad that I found this place. Waitress are all very friendly. I'll definitely come back.,https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alexandra A.,/user_details?userid=V0ACWWHynN7107SBqSVvyw,"Back Bay, Boston, MA",1/13/2019,5.0,Delicious food and excellent service. Will come back again soon! Make sure to get the soup dumplings.,https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lisha Q.,/user_details?userid=Igj3sY3VlOfcMBmJtaYhBA,"Manhattan, New York, NY",4/18/2019,5.0,Very traditional Shanghai food. I love their pan fried pork buns drunken chicken and sweet sour ribs,https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Shiyi F.,/user_details?userid=f9u-_Thk50v61lnHMgonHQ,"New York, NY",9/6/2018,5.0,"Coming from the region that represents this cuisine, all dishes taste really good, especially the Wuxi Pork Chops and the Dongpo Pork. We wanted to get the stir-fried shrimp but they ran out of stock today. Guess that dish is pretty popular too.",https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kris W.,/user_details?userid=POiAET3HD7Dq5051mk3OpQ,"Manhattan, New York, NY",5/25/2019,5.0,The food is so authentic and delicious. I highly recommend this restaurant. The noodles the soup and xiaolongbao are so good. The food is healthy for sure!,https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Zoe H.,/user_details?userid=uFP_-nGDtie6Me6g0mLUXQ,"Indian Lake, NY",3/16/2019,5.0,delicate and authentic south east Chinese dishes. highly recommend rice wine and ask them help you warm it.,https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sheng Z.,/user_details?userid=cW-qRda6fH-YDgES7WC4yg,"Irvine, CA",11/5/2018,5.0,One of my favorite Chinese restaurants! One of my favorites is the pork rib and fish. Salted duck is also very delicious. The environment is faltering and quite. Good place for date.,https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Freya C.,/user_details?userid=PTaxlNSnxdcSlUX4MpZlHg,"Princeton, NJ",10/30/2018,5.0,One of my favorite Chinese places downtown. I come here weekly since they have more authentic flavors compare to other Chinese places. Highly recommended if u are looking for real Chinese food.,https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Yihan Q.,/user_details?userid=kP4EsjVYWmLsLKgV-kjstQ,"South Los Angeles, Los Angeles, CA",10/2/2018,5.0,"I feel like I'm addicted to the place. The Wuxi pork rib lives up to the expectation. They made the noodle themselves in the spring noodle, so it's also super good!",https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jo W.,/user_details?userid=3HfgZZ4K1lsmjwmFegOciw,"New York, NY",1/22/2019,5.0,"This place has very good service. The decoration is  nice. The food is authentic. I have been here multiple times. The most amazing thing is that they have Yin Er Gen and Cai Fan (cooked in real Shanghai style!), which is not available in many Shanghainese restaurant. I will give this restaurant five star.",https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Susan S.,/user_details?userid=f4OKyobZai7QwVoeu4z_kw,"New York, NY",11/3/2018,4.0,"The ribs was very tender however a bit costly, the wine chicken was not a lot of wine compared to others I've tasted but still good, the soup dumplings soup had a nice tad of sweet, the noodles soup was homey but I don't prefer the noodles they use, the hot and sour soup was hearty and good.",https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ryan Z.,/user_details?userid=UVDE4XM_RZNjMvCNKNegag,"ANNANDALE, NY",9/15/2018,5.0,The food here is amazing. Very authentic Southern Chinese dishes. Try the shrimp and pork rib!,https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Christina S.,/user_details?userid=ATSgPBtU0RIM2l317hpVww,"Manhattan, NY",1/17/2019,4.0,I went for a meal alone and the waiters were super friendly! It was also very nice and quiet,https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Benji P.,/user_details?userid=zFjFImEtJJWttHNfydc0nA,"San Diego, CA",8/5/2018,1.0,Foods are very mediocre. The dumplings are even not good as good as those I got from Trader Joe's. Service is not good either. I don't get any reason of giving higher rating.,https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lauren M.,/user_details?userid=XQ8YCaBjDer46jNAJz6vWQ,"Baltimore, MD",11/4/2018,5.0,"Cute little place with great decor and ambiance. We split two types of soup dumpling (try the crab!!), short ribs, and beef noodle soup. Would be a great place for a group to come and split a bunch of things as well",https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Susan Z.,/user_details?userid=_ZSoNRYsuCl5HFdTQIXV1Q,"New York, NY",11/1/2018,5.0,"Stumbled upon this Chinese restaurant near my apartment and I am so glad that I did!!! It's hands down the best Chinese restaurant in the area and maybe in the entire city. The food is delicious, authentic, and super affordable. The service is amazing as well. Can't ask for much else from Tipsy Shanghai...I'm definitely going to be a regular here.",https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Anne K.,/user_details?userid=KOKtDWg_pNRWVmC9bqpwHA,"Manhattan, New York, NY",10/30/2018,5.0,"I live in the neighborhood and was so happy to see this place open up. I feel like most Chinese restaurants are Cantonese or Sichuan so it's nice to have somewhere that serves traditional Shanghainese food. So far I've tried the pan fried pork buns, the minced pork noodles, sauteed string beans, and a few other specials - all of them tasting very authentic. Definitely recommend!",https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Annie N.,/user_details?userid=2pjCxcaU0lb_X0iXmiHMLA,"Manhattan, NY",7/21/2018,4.0,"We ordered Spring Noodles, braised beef noodles, Wuxi pork ribs and crab dumplings. The noodles dishes were very tasty, the broths were flavorful and the noodles had a nice texture. Would go back for the noodles. Our waiter Jimmy was very attentive and friendly.",https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Minggle L.,/user_details?userid=Tw1My3KdWYROH2Ta2DIpHw,"Brooklyn, NY",7/19/2018,5.0,"The exquisite fitments was impress me, the interval of tables are just right .We order the wuxi rids, they was totally surprise me. Some of dishes are not exactly look like what we see in the menu, but the food still tasty.",https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Elle G.,/user_details?userid=ns1KwrEMe4whq_a6KcuVQg,"Audubon, New Orleans, LA",10/17/2018,5.0,"First time here, food is delicious here and authentic, good place to go with friends!",https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Donavan T.,/user_details?userid=LjP7Z76dKOb9fvetplTSLQ,"Manhattan, NY",12/13/2018,5.0,"Great food, I had the Spring noodles and it was very tasty and comforting. Price is on par with other restaurants in the area. Would definitely come back!",https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Daniel V.,/user_details?userid=hleXHZ15MTK8qmozyUY_Tw,"New York, NY",9/25/2018,2.0,"Tiny portions, inattentive service, mediocre taste. No real reason to come here when there are options in Chinatown which are much better value.",https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Neil F.,/user_details?userid=_wLJ9N7BvMjypPt68UFeiQ,"Queens, NY",8/20/2018,5.0,"Probably one of the best ""real"" Chinese cuisine since Joe's Shanghai, everything we ordered were spot on, they didn't adjust any flavor into any kinds of western styles, the soup dumplings and tofu are my favorites, we hope that we can ordered one more fried dumplings but we were full, definitely will come back really soon!",https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Francis V.,/user_details?userid=AqVPDv1O-cxv9RyGS7eoQg,"Concord, Staten Island, NY",9/16/2018,5.0,"Had a late lunch and it was quite tasty Shanghainese regional food. My wife had a chicken broth noodle soup dish and we shared had several appetizers (xiao long boa soup dumplings, deep fried dumplings, and the Wuxi spare ribs). All were pretty good/decent (be prepared that the dumplings are really hot and can burn your tongue though). My favorite is the Wuxi spare ribs which are very sweet and tender. For those familiar with Shanghainese cuisine, it's similar to hongshao rou but better, IMO.",https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Yunjie Z.,/user_details?userid=Lr9WAQZvJooEZsZivD1Qbw,"Amherst, MA",9/9/2019,5.0,this place is bomb，if u want to experience authentic Chinese food definitely come here,https://www.yelp.com/biz/tipsy-shanghai-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Michelle R.,/user_details?userid=T1crBdNwBt2caTkDeh4u2g,"New York, NY",1/4/2023,5.0,No comment,https://www.yelp.com/biz/honest-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Vicki C.,/user_details?userid=tgX19R_1SnLnPGjuuNu7vQ,"New York, NY",1/24/2023,3.0,No comment,https://www.yelp.com/biz/honest-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lee M.,/user_details?userid=6n66biYwQgtzH0X-3UtsKA,"West Village, Manhattan, NY",12/16/2022,5.0,No comment,https://www.yelp.com/biz/honest-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Eileen F.,/user_details?userid=oNRWmORodnglK2nsExjMsw,"Manhattan, NY",4/7/2023,3.0,"So wanted to try this place as I love South Indian food and I normally go to Lexington avenue, I had the pooris to start which were really good and the portions are large and then had the masala dosa and it looked great, the sambal sauce is delicious but the filling was a little to greasy, I felt it was to many fried onions and it just was a greasy mush, the bottom of the dosa ended up a little soggy, will definitely try again with something else, very clean place and prices are very good",https://www.yelp.com/biz/honest-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Amey P.,/user_details?userid=Ui0Uk4k0_AeJBfqP6_KwSg,"The Waterfront, Jersey City, NJ",7/27/2022,5.0,No comment,https://www.yelp.com/biz/honest-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Wesley K.,/user_details?userid=mKABI0h2zwKv4fzE9_PFrA,"Manhattan, NY",11/23/2022,5.0,"Really good, but I know Americans aren't used to paying more for higher quality Indian food which comes at a premium. I got the bhaji pav ($13.99) which was really really good. The spice was on point and I could literally tell by eating it that the ingredients were just of a higher quality. Of course as one knows with places where the quality is good, the portion size of the dishes are smaller. But to be honest, I think it is good because usually portion sizes at restaurants are inflated. I will come back occasionally due to the price point.",https://www.yelp.com/biz/honest-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alan S.,/user_details?userid=-yEhhXT6URxh_yxHko5Gzg,"Brooklyn, NY",5/1/2022,5.0,No comment,https://www.yelp.com/biz/honest-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Peter H.,/user_details?userid=1gpZXnZhfVYkKjWZXA7FzA,"New York, NY",10/22/2022,4.0,No comment,https://www.yelp.com/biz/honest-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Rishi J.,/user_details?userid=djgp0la9CaSju1_fKAeJ_Q,"Brentwood, Saint Louis, MO",10/25/2022,4.0,We went the for Saturday dinner had Masala Dosa and masala chai. This was good food and liked the decor of the restaurant.,https://www.yelp.com/biz/honest-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nivi R.,/user_details?userid=mMUtDfRecxttDxdvjiGVXQ,"Manhattan, NY",8/27/2022,5.0,"My dreams of having shiv sagar type restaurants in NY, have been answered. This place is AMAZING! we have tried pretty much all the dishes on the menu. My favorites however are the pani puri, bhel puri, bhakri pizza with amul cheese and bahubali sandwich. This will be a constant till I live in Manhattan.",https://www.yelp.com/biz/honest-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Paula N.,/user_details?userid=u2GnE6Qz7djou3Es0pZ-rA,"New York, NY",3/16/2022,5.0,No comment,https://www.yelp.com/biz/honest-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Monica S.,/user_details?userid=Al_h56bofk18eOyncKgscQ,"San Francisco, CA",12/26/2022,3.0,No comment,https://www.yelp.com/biz/honest-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Chandni G.,/user_details?userid=6VQsA_p6ipUhXNiC9WtfBg,"New Brunswick, NJ",4/2/2022,5.0,No comment,https://www.yelp.com/biz/honest-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ramiro B.,/user_details?userid=QaleDIgEwKRTf8d-sEFRZw,"Shelburne, VT",9/4/2022,5.0,"I visited NYC yesterday and the person next to me was an Indian from an area close Delhi. and in talking about pav bhaji, she recommended Honest as a great place for that and vegetarians. Unfortunately, when I went I was rather full from a late lunch so just had some samosas, what struck me was how fresh they were, delicious. Honest serves vegetarian Indian street food and it feels and looks that way. I know a lot about Indian food but I am not an Indian, but it strikes me that the  food here would be a cure from homesickness by someone from India. Will definitely come back.",https://www.yelp.com/biz/honest-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Andrew D.,/user_details?userid=F3OP2NXMxw5wcObsmoi_RQ,"Manhattan, NY",11/1/2022,1.0,No comment,https://www.yelp.com/biz/honest-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Krithika P.,/user_details?userid=dxYpo6r273vBTrNDqYXTZg,"White Plains, NY",9/12/2022,5.0,"HIGHLY recommend coming to Honest for some delectable chaat!! Honestly, the food tasted like the street stalls in India. I tried the vada pav, kattappa sandwich, dahi puri, and pav bhaji - and oh my god, every bit was so so good. The staff is very friendly, and the food is very fresh and tastes amazing. I've tried chaat at quite a few places in NYC, and I don't think many places compare to Honest. The restaurant is cute, chic, and I love the instagrammable sign that they have inside. Great place to hangout with friends, for a quick bite, or a nice dinner. I will definitely be coming back again to try more!",https://www.yelp.com/biz/honest-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Vee B.,/user_details?userid=nVuxBt9WQN5mu_M1cO3DBg,"West New York, NJ",2/25/2022,5.0,No comment,https://www.yelp.com/biz/honest-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Heena G.,/user_details?userid=kGS7UUL4-OoUp0iDcMk3Sw,"Canoga Park, Los Angeles, CA",9/1/2022,5.0,"Loved everything we ordered here - pau bhaji, and special pizza. They even made a small size sada dosa for my one year old and she relished it! Great quality with great taste. The place was very clean and neat. Loved the ambiance. Coming back for sure!",https://www.yelp.com/biz/honest-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Ha D.,/user_details?userid=xK4FeVm0ZrR96Q8XF7AszQ,"New York, NY",7/17/2022,4.0,This place is a gem. Love that it's right in the middle of the west village and has affordable prices. If you are an NYU student you can get an additional discount ! The food was amazing and portions were huge. I recommend going family style and sharing a few dishes.,https://www.yelp.com/biz/honest-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Andrea C.,/user_details?userid=hjKox9u1LpwTHUO87IdmgA,"Delray Beach, FL",3/19/2022,3.0,"Small, unassuming place, order at front and they bring your food to your table.  It's definitely different than typical Indian food. They call it Street Food. The plates are small and meant to be shared. Everything seemed fresh, nothing frozen or reheated. Good quality ingredients. Started with bhaji pav, which is kind of a loose mashed potato curry served with buttery rolls for dipping. It was pretty tasty. We then had some samosas which I thought were just ok. Then we had paneer chili gravy which was grilled paneer cheese with veggies in a spicy sauce. That was my favorite dish. Also got something called a mango falooda which is kind of like a mango lassi but with nuts, mango ice cream, and thin noodles. Apparently it's a very popular  Indian street drink. My friend and I really didn't care for it. It actually wasn't bad, but those noodles were pretty off-putting for us. Maybe it's an acquired taste. Overall, an interesting meal, the restaurant was basic but very clean and bright and pretty, and the service was very good. But the food itself, while interesting, wasn't actually that great. I'm glad I tried it, but wouldn't rush to go back.",https://www.yelp.com/biz/honest-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Plates2Planes V.,/user_details?userid=D2yk-408XyAa6J--o5mQTg,"Los Angeles, CA",3/4/2022,5.0,Perfect place for Indian chat around Greenwich area. Their menu options are great for street food nostalgia and the taste is original. As 'Desi' as it could get. I had the Samosa Chat and it was amazing .,https://www.yelp.com/biz/honest-new-york?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
