Saddmun A.,/user_details?userid=5Ujzt9wasye05ZSxMgVhyA,"New York, NY",5/18/2017,4.0,No comment
Johnny Yueh Han L.,/user_details?userid=SPPRYWxLPpyB-fwyl3DqdA,"Manhattan, NY",12/11/2019,4.0,Definitely my place to go for small bites or meal sized between a proper meal and snack. My favorite is the tortilla egg - very fulfilling. Though price wise I think it's a little high - sad that I can't afford coming here everyday.,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alexander K.,/user_details?userid=buSPdvPm4GUaDRcJIKe09A,"Fairfax, VA",12/22/2011,4.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Omar K.,/user_details?userid=INvSTQfpBlVf8z5d7HWOpw,"Staten Island, NY",11/9/2019,2.0,"The food was super bland, I had the cod crocket, the anchovies and tuna pintoxs and the octopus for apps, for the meal we order a traditional paella which we ended up sending back because the fish wasn't fresh. Super disappointed",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jennifer K.,/user_details?userid=CxDOIDnH8gp9KXzpBHJYXw,"Markham, Canada",5/23/2011,4.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Alexandra A.,/user_details?userid=-J09E7UN_IRrmh58iutSLQ,"San Francisco, CA",1/3/2020,4.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jackie Z.,/user_details?userid=nP76H58f6q_uYLSzeqh82A,"Manhattan, NY",1/12/2017,5.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Me M.,/user_details?userid=rsogsxihBqgw3JRyFXwvMA,"Queens, NY",7/13/2016,5.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Adrian M.,/user_details?userid=4IFVlt7OLEGcMnurbRyicw,"Milan, MI",6/18/2018,5.0,"I lived in Spain, and this place brings back memories. I have been to plenty of sub-par Spanish restaurants here in the US, but you cannot beat the value for money at Despaña. They have a large menu with quality offerings at good prices. Most people order take-out here, but there is a small dining area, where I enjoyed my bocadillo and tortilla. In addition to being a restaurant, you can buy groceries from Spain and Spanish cookbooks. Next door to the restaurant they have a wine shop with an excellent selection. I will definitely return.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sandra B.,/user_details?userid=fQTgtv3VsocshUiPDBCOEQ,"New Orleans, LA",12/2/2017,5.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
anabela D.,/user_details?userid=nRr7V_o9YjXeCWd62mJn2A,"Queens, NY",8/25/2019,2.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Joyce C.,/user_details?userid=1qyNuD1gnl4Gdz5_BeffIg,"Long Island City, NY",12/13/2014,5.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Giacomo C.,/user_details?userid=gpR3XkOEdw-PCJGUjhYcgQ,"New York, NY",3/13/2015,3.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Rose W.,/user_details?userid=_oPtg_4TMQuB8Hb1ANQxVw,"New York, NY",3/10/2015,4.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Carolina a.,/user_details?userid=xJSGNcUuu4wsj3oyNErTKg,"Miami, FL",6/8/2017,5.0,"Great atmosphere, and food !If you want to eat like in Spain, come to DeEspaña, the atmosphere is very nice and friendly. And they have a varied range of Spanish products of the best quality. Do not forget to order the mixed plate of cheeses , chorizos and jamon serrano also , the baby eels and the wonderful Spanish tortilla . This place is a real gem in Manhattan. Great prices awesome value !",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Victoria S.,/user_details?userid=uEjMJjM7oDBkQuCJVamF-Q,"Athens, GA",10/4/2014,5.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Irene M.,/user_details?userid=PkmsJsQ8FIZe8eh8c_u96g,"Astoria, Queens, NY",1/28/2017,5.0,"Wow, this place is a hidden treasure! My coworker recommended this place so I ordered traditional Tortilla Bocadillo ($8.50), a sandwich with potato omelet inside. The portion is huge so I couldn't finish in one setting, and the bread had authentic homemade sourdough taste and texture. It was simply heaven. This place also sells homemade sausages, bread and olive oil and everything looked so delicious in the store/deli. I'll definitely come back when I have enough time for lunch break!",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Will R.,/user_details?userid=5vs6S2e3Mhu9SkQz9YkcoQ,"New York, NY",11/26/2017,5.0,Great spot for lunch if you love Spanish food because the real thing is very hard to find in Manhattan. These guys do it right and they also offer all manner of Spanish products ranging from blood sausage to turrón. I can't say enough about this place I love it.,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lita W.,/user_details?userid=go_pClk9LbtmZG1SlwcZDw,"Brooklyn, NY",9/2/2015,4.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mary L.,/user_details?userid=w-ObygShb2af3nyo6CPeXg,"Manhattan, NY",8/8/2019,4.0,"Great place for a low maintenance night. Food is delicious and service is warm and welcoming. Ensalada de bacalao, boquerones, morcilla, tortilla serrano, and the paella all delicious!",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Angelica C.,/user_details?userid=ptHJo1LLnDWFDqsA6pqHJw,"Garden City, NY",2/4/2019,5.0,I can't wait to come back here! I love Spanish tapas. We had the meat and cheese board which was pretty great. Their chorizo and manchego was super good. I also ordered the marinated sardines which were to die for!!!! And the red sangria.... oh em geee!! Best sangria ever! I will definitely be back! Next time I want to try the iberico ham.,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Zachary S.,/user_details?userid=MDWJ137wW_cf9IVGOB_87w,"Vero Beach, FL",6/29/2016,5.0,"If your a lover of Spanish food, there is no better place in NYC to find the variety of gourmet items that are sold at Despana, It's both a grocery store and tapas bar. Up front you can find sauces, olives, jamon, chorizo, cheese, cans of all kinds of canned seafood, olives, olive oil, vinegar and more, It's like walking into a shop in Spain. In the back they serve tapas and pinxos, which you can take out or eat in a lovely white-tiled side room. If you're eating in and want wine, just go next door to their wine shop and they'll provide the glasses. Typically, there will be sample of olive oil or olives with pieces of bread on the shelf for you to try. Since almost everything is imported, it can get pricey, but the food is great and authentic. You can get an Iberian foodie experience without having to fly to Madrid.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Gloria H.,/user_details?userid=GCuDiPUKYxhgFHP5LqJa2Q,"San Francisco, CA",8/31/2014,4.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Vivienne K.,/user_details?userid=9CZCkwRPsOpXqP4sfSZO8A,"Honolulu, HI",6/21/2015,5.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Helen G.,/user_details?userid=jrhWTH2kTeLHBi3WS4g7Bw,"Manhattan, New York, NY",3/8/2017,5.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Malinda L.,/user_details?userid=1pR5fCGVpPydBbu94KGi_Q,"Tampa, FL",7/26/2014,5.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Yi C.,/user_details?userid=DYU45vmMt-IPI1VykZUPlg,"New York, NY",2/26/2017,1.0,"I will give a 0 star if I can. I came in at 5:40pm(it's even not 5:50pm) on Saturday for slides Serrano hams. And the staff says he is cleaning the machine so the meat counter is closed, but the store hour is to 6:00pm(ya 20 more mins). Probably the time of the staff is really precious, while customers' time is not. I have been here many times and feel really disappointed about this place.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kammy Windy Town W.,/user_details?userid=8WOr5rBlnz3b6cosHmn0KQ,"Chicago, IL",6/3/2015,4.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sanghita B.,/user_details?userid=OEWLzM2WuBRl0dFEkgmTQw,"Basking Ridge, NJ",3/13/2017,4.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sean C.,/user_details?userid=13ZRy38pcYB9DX3LhYUXfw,"Brooklyn, NY",4/11/2019,5.0,"Best Jamon in New York. They really don't need to do more beyond that to be one of my favorite spots in NY. They do have a great selection of treats here though. I kind of wish that their cheese station was a little easier to grab and go, but I can't complain much. This place is great.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Mandy B.,/user_details?userid=UjK7OA6evbNSBro8rsnmBg,"Weehawken, NJ",8/5/2019,5.0,"Geeeet the Despana sandwich!!! Takes me right back to Spain, it's such a delicious combination of flavors. Great for takeaway or there is a small area to sit there and eat if you'd prefer.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sugeidy P.,/user_details?userid=AE3mk3aiIpcGqbuIlgm3MQ,"North Riverdale, NY",4/12/2017,5.0,"Great time here. We came in at around 12:45. It was amazing! Four of us had the chorizo sandwich and one had some veggies and bread. We all loved it, the spicy is not so spicy so it was great. I can't wait to go back. We sat down at the table, had some flan and we also tried the soup. It was amazing. It's a fun and inviting place I will be back again.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Fran W.,/user_details?userid=Uaplt742nfFN2-ajXD8t7w,"Manhattan, NY",3/19/2018,1.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Yan T.,/user_details?userid=NoOaVw8YAe4SlgWGLWMY8Q,"Manhattan, NY",1/6/2014,5.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Vanessa D.,/user_details?userid=YlQLj8Sp4SOMYykOWrYgqQ,"Manhattan, NY",4/6/2019,2.0,I had really high expectations. Food was alright- expensive for what you get. Drinks outrageously priced even for NYC.,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Bo B.,/user_details?userid=oH9K7eCuNsYr6MmlM2ZjUg,"Austin, TX",2/7/2014,3.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Matthew S.,/user_details?userid=rXIMCBBqOnRIK7urkaoikQ,"San Francisco, CA",6/20/2019,5.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Erica L.,/user_details?userid=dnHvmhmUgO2eLn-oJZdQbA,"Columbia Heights, Washington, DC",10/8/2016,5.0,"A lovely little Spanish market in Soho that has a floor to ceiling shelf jam-packed with delicious and high-quality sauces, oils, vinegars, canned and jarred fish and veggies, and paellas on one side, a very inviting cured meat and cheese counter on the other side, and in the back, a counter with a variety of different tortillas espagnoles, pinxtos (little skewers with meat or grilled octopus and pickled peppers and other scrumptious bites), and other tapas, and a great wine selection.  There are four long communal tables hidden away to the left of the counter -- very comfortable and spacious.  It's great for a chill meal or a snack while you're waiting for a restaurant nearby, or need a break from walking around the city.  I'll definitely be back.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Holly H.,/user_details?userid=_vbb8jPOkoBtVxkCniR-Mw,"Manhattan, New York, NY",5/29/2019,5.0,"I stop here before or after my hair appointments across the street to pick up a sandwich and a bottle of wine. I think I've tried every sandwich on the menu and I have yet to be disappointed. So many great meal/snack options here-- they've helped when I've needed to bring something to share to a cocktail party and also have plenty of options for host gifts. Oh, and if you're lucky, free samples! YUM",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jenny Z.,/user_details?userid=Ba5SXh-6zVYLZ_ZN6ZraZQ,"West Orange, NJ",3/22/2019,4.0,"First time here and the Despaña sandwich was delish! Not a place for date night, but excellent for a quick bite.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Gabrielle P.,/user_details?userid=OY9o61lv74E1dtNPH7K-AQ,"Brooklyn, NY",10/9/2018,4.0,"I enjoy coming to eat at Despaña. The selection is good, not too expensive considering the food is authentic. The other day when we went to eat there the potato and chorizo dish was pretty greasy. Also, I did not patatas bravas on the menu but noticed another person had ordered it. Maybe clarify the menu options? Also, go easy on the grease!",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nhi N.,/user_details?userid=Q4xUoAKh8j1oIZxLiqeJMg,"Pleasanton, CA",1/16/2019,5.0,"Combination grocery store and food court style dining. The sandwiches and tortillas were fresh, and there was a great variety. The flan was amazing. The food reminded me of my time in Spain. There is a lot of grocery items to browse through, and you could easily make an authentic Spanish meal with the ingredients.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Kim N.,/user_details?userid=UNesCmi0Za_Ce1xR_FcYXg,"Norfolk, VA",3/28/2016,5.0,"I saw a Yelp reviews on this place and I knew I had to try it. Oh. My. Gosh. Literally the most amazing chorizo I've ever had! My boyfriend ordered the chorizo sandwich and I ordered the gallego sandwich. Both were to die for! It was a simple combination of my favorite things: MEAT, CHEESE, BREAD, NO BS. Seriously though... I'm considering coming back tomorrow before our trip ends.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Lucy S.,/user_details?userid=PoOA830aZrlyt47WGU8Bsg,"Brooklyn, NY",12/31/2019,3.0,It was a bit underwhelming for us given all the raving reviews we read before coming here. The bread and croquetas were the highlights but the patatas and octopus were just okay. We did get the paella but it was far less well done than some of the other places we have tried in the city. Maybe should have heeded to the words of other reviewers and gotten a sandwich. Some of the items felt a bit over priced.,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Diana Lyn Z.,/user_details?userid=Kmiu0dzeWTBbp_HZomF5KQ,"Danville, CA",12/16/2017,2.0,"Eating here as I type. Overall, the food was good--at least the one item I expected. Ordered the soup of the day, which was on the chalkboard as creamy leek and carrots. Opened up the container to find a minestrone-like soup with noodles. I brought it up to an employee and all I got was a shrug. They immediately updated the chalkboard. My husband also ordered the morcilla flauta. They brought us the tortilla flauta instead. I also brought this up and she insisted that he ordered the tortilla flauta. Uhm, ok, we know what we ordered. They were not apologetic about the soup nor about taking our order incorrectly. Docked stars for lack of customer service. Not sure if we'll ever be back.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Charles F.,/user_details?userid=asq1fNubvefJB9BWAtAuVg,"Manhattan, NY",2/16/2014,5.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
michelle h.,/user_details?userid=mT2LplCwybDPZ4YUykQd1w,"NY, NY",1/30/2016,5.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Cindy K.,/user_details?userid=9N860eXpSnGoq9yq3vSS4A,"San Francisco, CA",3/5/2019,5.0,"The food is authentic and delicious , not a fancy spot to eat in more casual .. but for me it's about the food and I felt it was as close as possible to eating in Spain .. I have an affinity for spots when I can eat and shop at the same time .",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
TianTian C.,/user_details?userid=cvzWnh6urvKCgAFt3q_9Vw,"Salt Lake City, UT",1/13/2019,5.0,"Loved the food and atmosphere here! I had a girls night out with my friends and we wanted a place where we could spend catching up over good food and drinks. We ordered tapas: fried potatoes served with aioli sauce, octopus, chorizo. We also had their squid ink paella and sparkling sangria. Everything was delicious! We also loved the place because the dining area is relaxed (not formal with wait staff checking in feeling rushed to turn tables on a busy Saturday night)! It is also located in SoHo where we could easily grab after dinner drinks/go dancing nearby.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Melissa C.,/user_details?userid=c9LssAbQdnf-fHacQSM4rA,"Bellevue, WA",11/4/2013,4.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Jeff U.,/user_details?userid=D5PfKHIb2ZCHqBYXm-7sZg,"Westport, CT",1/6/2019,5.0,Great place to grab a bite to eat and a glass of Prosecco.  Tapas is wonderful and grab some to take home,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Nikki L.,/user_details?userid=VDseKKt5Oe-4fU-z9bHJiQ,"Manhattan, NY",8/13/2013,4.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Sal L.,/user_details?userid=Mt4OscxdKrB9xIglTNuB4w,"Plainfield, NJ",8/26/2018,4.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Morris R.,/user_details?userid=XZeFJAOFwmkw9rCeu-R4Gw,"San Francisco, CA",7/17/2016,5.0,"The tapas here is the best tapas I have had outside of Spain. I love the format - you just point and pick and then they bring it to your table. The fish tapas were the highlights - wonderful, fresh, and not greasy.",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Vivian H.,/user_details?userid=ZD84600Tw1WqeKpVuNiKzg,"Ahwatukee Foothills Village, Phoenix, AZ",3/15/2011,4.0,No comment,https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
Arthur V.,/user_details?userid=l0vtPB246dBdP51CimdUFw,"New York, NY",9/24/2017,5.0,"I've come to Despana three times now but i'll be honest - so far i've only come here for the Fuet. Can you blame me though? Despana is the only place i've found Fuet in CA and NYC. If you're wondering what it is, it's a delicious pork sausage flavored with powdered milk that melts in your mouth. I was brought some from Spain, and while it found it tasted better, the one at Despana is great. I even took some back home as a gift for family. The staff here really know what theyr'e about, though. I've asked them if they have anything comparable to fuet and ive received consistent answers, so I know they're not lying. I'll be back for sure and maybe this time i'll try something else!",https://www.yelp.com/biz/despa%C3%B1a-fine-foods-and-tapas-cafe-new-york-2?adjust_creative=YOPxpPg1qGggP5qGSctmew&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=YOPxpPg1qGggP5qGSctmew
